craft_id,craft_name,member_name,email,years_experience
1,Story_Writing,Casey Lee,casey.lee75@filmcrafters.com,10
1,Story_Writing,Alex Lee,alex.lee68@filmcrafters.com,18
1,Story_Writing,Alex Wright,alex.wright80@filmcrafters.com,14
2,Direction,Casey Morgan,casey.morgan31@filmcrafters.com,14
2,Direction,Alex Clark,alex.clark4@filmcrafters.com,14
2,Direction,Sam Lee,sam.lee55@filmcrafters.com,3
3,Production,Robin Smith,robin.smith12@filmcrafters.com,19
3,Production,Robin Smith,robin.smith61@filmcrafters.com,2
3,Production,Robin Johnson,robin.johnson86@filmcrafters.com,1
4,Cinematography,Jordan Reed,jordan.reed68@filmcrafters.com,10
4,Cinematography,Taylor Clark,taylor.clark12@filmcrafters.com,18
4,Cinematography,Jamie Reed,jamie.reed47@filmcrafters.com,10
5,Editing,Sam Johnson,sam.johnson12@filmcrafters.com,20
5,Editing,Alex Reed,alex.reed8@filmcrafters.com,10
5,Editing,Jamie Wright,jamie.wright30@filmcrafters.com,7
6,Art_Direction,Riley Evans,riley.evans99@filmcrafters.com,3
6,Art_Direction,Robin Clark,robin.clark38@filmcrafters.com,3
6,Art_Direction,Riley Lee,riley.lee75@filmcrafters.com,14
7,Sound_Design,Casey Morgan,casey.morgan67@filmcrafters.com,3
7,Sound_Design,Morgan Smith,morgan.smith80@filmcrafters.com,13
7,Sound_Design,Sam Clark,sam.clark23@filmcrafters.com,3
8,Music,Jamie Morgan,jamie.morgan76@filmcrafters.com,2
8,Music,Taylor Campbell,taylor.campbell26@filmcrafters.com,15
8,Music,Taylor Wright,taylor.wright48@filmcrafters.com,1
9,Costume_Design,Morgan Lee,morgan.lee25@filmcrafters.com,4
9,Costume_Design,Riley Campbell,riley.campbell74@filmcrafters.com,7
9,Costume_Design,Morgan Reed,morgan.reed22@filmcrafters.com,1
10,Makeup,Jamie Turner,jamie.turner83@filmcrafters.com,14
10,Makeup,Avery Reed,avery.reed84@filmcrafters.com,14
10,Makeup,Jamie Wright,jamie.wright15@filmcrafters.com,6
11,Choreography,Sam Johnson,sam.johnson9@filmcrafters.com,1
11,Choreography,Jordan Reed,jordan.reed13@filmcrafters.com,10
11,Choreography,Riley Turner,riley.turner51@filmcrafters.com,7
12,Acting,Avery Smith,avery.smith76@filmcrafters.com,10
12,Acting,Avery Turner,avery.turner54@filmcrafters.com,9
12,Acting,Sam Reed,sam.reed70@filmcrafters.com,13
13,Stunts,Taylor Turner,taylor.turner57@filmcrafters.com,7
13,Stunts,Morgan Campbell,morgan.campbell89@filmcrafters.com,3
13,Stunts,Sam Lee,sam.lee22@filmcrafters.com,16
14,VFX,Taylor Lee,taylor.lee72@filmcrafters.com,13
14,VFX,Jordan Lee,jordan.lee86@filmcrafters.com,13
14,VFX,Morgan Campbell,morgan.campbell33@filmcrafters.com,15
15,Animation,Robin Turner,robin.turner75@filmcrafters.com,11
15,Animation,Jamie Wright,jamie.wright4@filmcrafters.com,7
15,Animation,Sam Clark,sam.clark54@filmcrafters.com,4
16,Graphics_Titles,Morgan Reed,morgan.reed24@filmcrafters.com,1
16,Graphics_Titles,Jordan Evans,jordan.evans92@filmcrafters.com,8
16,Graphics_Titles,Jamie Wright,jamie.wright91@filmcrafters.com,14
17,Lighting,Jordan Turner,jordan.turner98@filmcrafters.com,12
17,Lighting,Alex Reed,alex.reed13@filmcrafters.com,19
17,Lighting,Riley Campbell,riley.campbell68@filmcrafters.com,14
18,Set_Properties,Casey Smith,casey.smith51@filmcrafters.com,7
18,Set_Properties,Sam Evans,sam.evans23@filmcrafters.com,19
18,Set_Properties,Taylor Reed,taylor.reed26@filmcrafters.com,14
19,Still_Photography,Riley Clark,riley.clark68@filmcrafters.com,19
19,Still_Photography,Casey Wright,casey.wright61@filmcrafters.com,11
19,Still_Photography,Jamie Smith,jamie.smith37@filmcrafters.com,14
20,Publicity_Promotion,Alex Smith,alex.smith55@filmcrafters.com,12
20,Publicity_Promotion,Jamie Turner,jamie.turner44@filmcrafters.com,15
20,Publicity_Promotion,Jordan Campbell,jordan.campbell98@filmcrafters.com,12
21,Production_Management,Morgan Smith,morgan.smith52@filmcrafters.com,3
21,Production_Management,Avery Morgan,avery.morgan27@filmcrafters.com,10
21,Production_Management,Morgan Wright,morgan.wright51@filmcrafters.com,9
22,Subtitling_Dubbing,Taylor Lee,taylor.lee51@filmcrafters.com,4
22,Subtitling_Dubbing,Sam Campbell,sam.campbell73@filmcrafters.com,11
22,Subtitling_Dubbing,Robin Clark,robin.clark85@filmcrafters.com,16
23,Color_Grading,Alex Wright,alex.wright5@filmcrafters.com,16
23,Color_Grading,Jordan Johnson,jordan.johnson92@filmcrafters.com,12
23,Color_Grading,Avery Campbell,avery.campbell27@filmcrafters.com,18
24,Distribution,Avery Reed,avery.reed78@filmcrafters.com,11
24,Distribution,Morgan Clark,morgan.clark12@filmcrafters.com,10
24,Distribution,Jamie Campbell,jamie.campbell49@filmcrafters.com,3
